trainer	loss	sampler	filterer	num_negs_per_pos	workers	epochs	time	frequency
lcwa	marginranking	none	none	0	0	3	0.022023791912943125	136.21632513867584
lcwa	marginranking	none	none	0	0	3	0.021185031160712242	141.6094211635391
lcwa	marginranking	none	none	0	0	3	0.018608474638313055	161.21686802975722
lcwa	marginranking	none	none	0	0	3	0.018406177405267954	162.98875828184632
lcwa	marginranking	none	none	0	0	3	0.018425385933369398	162.81884194169487
lcwa	marginranking	none	none	0	0	3	0.018465195782482624	162.46781433241068
lcwa	marginranking	none	none	0	0	3	0.018446796108037233	162.6298671286829
lcwa	marginranking	none	none	0	0	3	0.018762862775474787	159.8903128962465
lcwa	marginranking	none	none	0	0	3	0.0184755171649158	162.3770513821864
lcwa	marginranking	none	none	0	0	3	0.018560245167464018	161.63579591389123
lcwa	marginranking	none	none	0	0	3	0.018385717179626226	163.17013748717898
lcwa	marginranking	none	none	0	2	3	0.020898025948554277	143.5542288723945
lcwa	marginranking	none	none	0	2	3	0.021105851978063583	142.14067279151095
lcwa	marginranking	none	none	0	2	3	0.018568433821201324	161.564514750545
lcwa	marginranking	none	none	0	2	3	0.01872142404317856	160.24422036918162
lcwa	marginranking	none	none	0	2	3	0.018618194852024317	161.13269969745838
lcwa	marginranking	none	none	0	2	3	0.018429646734148264	162.7811994052661
lcwa	marginranking	none	none	0	2	3	0.018510424997657537	162.0708330780976
lcwa	marginranking	none	none	0	2	3	0.018526696134358644	161.92849379314623
lcwa	marginranking	none	none	0	2	3	0.0186671637929976	160.71000572274167
lcwa	marginranking	none	none	0	2	3	0.018600753974169493	161.28378474152402
lcwa	marginranking	none	none	0	2	3	0.018535936251282692	161.84777285217515
lcwa	marginranking	none	none	0	8	3	0.021227502264082432	141.3260949252654
lcwa	marginranking	none	none	0	8	3	0.022254498209804296	134.80420774791227
lcwa	marginranking	none	none	0	8	3	0.01958070183172822	153.21207716563322
lcwa	marginranking	none	none	0	8	3	0.01882576197385788	159.35609959192655
lcwa	marginranking	none	none	0	8	3	0.018465606030076742	162.46420480939568
lcwa	marginranking	none	none	0	8	3	0.01920027704909444	156.24774540123065
lcwa	marginranking	none	none	0	8	3	0.01847923593595624	162.34437454000502
lcwa	marginranking	none	none	0	8	3	0.01839218707755208	163.11273843345916
lcwa	marginranking	none	none	0	8	3	0.01842637686058879	162.81008592723092
lcwa	marginranking	none	none	0	8	3	0.01870698295533657	160.36792288540497
lcwa	marginranking	none	none	0	8	3	0.018395267892628908	163.08542052829344
slcwa	marginranking	bernoulli	none	1	0	3	0.0019168257713317871	1565.0874716253616
slcwa	marginranking	bernoulli	none	1	0	3	0.000928148627281189	3232.240949154719
slcwa	marginranking	bernoulli	none	1	0	3	0.0009347880259156227	3209.2837272508996
slcwa	marginranking	bernoulli	none	1	0	3	0.0010403962805867195	2883.516652239649
slcwa	marginranking	bernoulli	none	1	0	3	0.0012709838338196278	2360.3762063473628
slcwa	marginranking	bernoulli	none	1	0	3	0.0012504039332270622	2399.2246987399926
slcwa	marginranking	bernoulli	none	1	0	3	0.0012648939155042171	2371.7403991180777
slcwa	marginranking	bernoulli	none	1	0	3	0.001250464003533125	2399.109443793381
slcwa	marginranking	bernoulli	none	1	0	3	0.001223044004291296	2452.8962077193432
slcwa	marginranking	bernoulli	none	1	0	3	0.0012631840072572231	2374.9509040365074
slcwa	marginranking	bernoulli	none	1	0	3	0.0012559439055621624	2388.641711396494
slcwa	marginranking	bernoulli	none	1	0	3	0.0012173335999250412	2464.402527117241
slcwa	marginranking	bernoulli	none	1	0	3	0.0012491741217672825	2401.586734566449
slcwa	marginranking	bernoulli	none	1	0	3	0.0014164019376039505	2118.042852352303
slcwa	marginranking	bernoulli	none	1	0	3	0.001272394321858883	2357.7596570984388
slcwa	marginranking	bernoulli	none	1	0	3	0.0012820940464735031	2339.921948980051
slcwa	marginranking	bernoulli	none	1	0	3	0.0012660040520131588	2369.660662009333
slcwa	marginranking	bernoulli	none	1	0	3	0.001240554265677929	2418.2738982083806
slcwa	marginranking	bernoulli	none	1	0	3	0.0012659942731261253	2369.678965918295
slcwa	marginranking	bernoulli	none	1	0	3	0.0012562843039631844	2387.994493392887
slcwa	marginranking	bernoulli	none	1	0	3	0.0012417039833962917	2416.0347716646934
slcwa	marginranking	bernoulli	none	1	0	3	0.0012933239340782166	2319.6044865110866
slcwa	marginranking	bernoulli	none	1	0	3	0.0012448253110051155	2409.9767039422545
