trainer	loss	sampler	filterer	num_negs_per_pos	workers	epochs	time	frequency
lcwa	marginranking	none	none	0	0	3	0.0040334309451282024	743.7836523824868
lcwa	marginranking	none	none	0	0	3	0.0036765350960195065	815.985682619493
lcwa	marginranking	none	none	0	0	3	0.0030218432657420635	992.7715424589701
lcwa	marginranking	none	none	0	0	3	0.0016056499443948269	1868.4022694191335
lcwa	marginranking	none	none	0	0	3	0.0015944400802254677	1881.5382510804507
lcwa	marginranking	none	none	0	0	3	0.0016009309329092503	1873.9096973710962
lcwa	marginranking	none	none	0	0	3	0.0015920610167086124	1884.349888927075
lcwa	marginranking	none	none	0	0	3	0.00155186140909791	1933.1623187562132
lcwa	marginranking	none	none	0	0	3	0.0015780297107994556	1901.1048901482031
lcwa	marginranking	none	none	0	0	3	0.0015595010481774807	1923.692198543865
lcwa	marginranking	none	none	0	0	3	0.0015756613574922085	1903.9624128212047
lcwa	marginranking	none	none	0	0	3	0.0015761400572955608	1903.3841479465896
lcwa	marginranking	none	none	0	0	3	0.0015541408210992813	1930.327007225785
lcwa	marginranking	none	none	0	0	3	0.0015552211552858353	1928.986105804758
lcwa	marginranking	none	none	0	0	3	0.001564360223710537	1917.7168752630648
lcwa	marginranking	none	none	0	0	3	0.0015541911125183105	1930.264544582934
lcwa	marginranking	none	none	0	0	3	0.0015805810689926147	1898.0361456005883
lcwa	marginranking	none	none	0	0	3	0.001604719553142786	1869.4855397783413
lcwa	marginranking	none	none	0	0	3	0.0015440708957612514	1942.9159685837822
lcwa	marginranking	none	none	0	0	3	0.001941205933690071	1545.4310889608962
lcwa	marginranking	none	none	0	0	3	0.0019672359339892864	1524.9823105439157
lcwa	marginranking	none	none	0	0	3	0.0015629208646714687	1919.4829807525862
lcwa	marginranking	none	none	0	0	3	0.0015700212679803371	1910.8021408265226
lcwa	marginranking	none	none	0	0	3	0.0018297582864761353	1639.5608218709535
lcwa	marginranking	none	none	0	0	3	0.0023767808452248573	1262.2114512691567
lcwa	marginranking	none	none	0	0	3	0.0023690913803875446	1266.308266888907
lcwa	marginranking	none	none	0	0	3	0.002377171069383621	1262.004253138531
lcwa	marginranking	none	none	0	0	3	0.0015672710724174976	1914.1551533727566
lcwa	marginranking	none	none	0	0	3	0.0015114718116819859	1984.8203432001555
lcwa	marginranking	none	none	0	0	3	0.0015246407128870487	1967.676695658495
lcwa	marginranking	none	none	0	0	3	0.001522210892289877	1970.817588545218
lcwa	marginranking	none	none	0	0	3	0.0015215110033750534	1971.7241566740731
lcwa	marginranking	none	none	0	0	3	0.0015380713157355785	1950.4947327915402
lcwa	marginranking	none	none	0	0	3	0.0015069418586790562	1990.7868261285923
lcwa	marginranking	none	none	0	0	3	0.0016236002556979656	1847.745459186527
lcwa	marginranking	none	none	0	0	3	0.0015009515918791294	1998.7320152305006
lcwa	marginranking	none	none	0	0	3	0.0015194709412753582	1974.371420016739
lcwa	marginranking	none	none	0	0	3	0.001624228898435831	1847.0303064359139
lcwa	marginranking	none	none	0	0	3	0.001508271787315607	1989.0314366612545
lcwa	marginranking	none	none	0	0	3	0.001515441108494997	1979.621631736872
lcwa	marginranking	none	none	0	0	3	0.0014948812313377857	2006.8483951164915
lcwa	marginranking	none	none	0	0	3	0.0015055020339787006	1992.690765134126
lcwa	marginranking	none	none	0	0	3	0.0015148911625146866	1980.3402872983065
lcwa	marginranking	none	none	0	0	3	0.0014864117838442326	2018.2832460068703
lcwa	marginranking	none	none	0	0	3	0.0015271808952093124	1964.4038302278695
lcwa	marginranking	none	none	0	0	3	0.0015163309872150421	1978.4598648280132
lcwa	marginranking	none	none	0	0	3	0.001504471991211176	1994.0550688383694
lcwa	marginranking	none	none	0	0	3	0.001524671446532011	1967.6370321118977
lcwa	marginranking	none	none	0	0	3	0.0014985608868300915	2001.920660258193
lcwa	marginranking	none	none	0	0	3	0.0015040519647300243	1994.6119351923433
lcwa	marginranking	none	none	0	0	3	0.0015278812497854233	1963.5033811831397
lcwa	marginranking	none	none	0	0	3	0.0014978819526731968	2002.82805640728
lcwa	marginranking	none	none	0	0	3	0.0015152320265769958	1979.8947932596093
lcwa	marginranking	none	none	0	0	3	0.0015180311165750027	1976.244075133737
lcwa	marginranking	none	none	0	0	3	0.0014921617694199085	2010.5058724070361
lcwa	marginranking	none	none	0	0	3	0.0015313909389078617	1959.0033633994874
lcwa	marginranking	none	none	0	0	3	0.0014936118386685848	2008.5539779024643
lcwa	marginranking	none	none	0	0	3	0.0015066820196807384	1991.13015275492
lcwa	marginranking	none	none	0	0	3	0.0015156310983002186	1979.3734790507415
lcwa	marginranking	none	none	0	0	3	0.0015028216876089573	1996.2448138295813
lcwa	marginranking	none	none	0	0	3	0.0015042712911963463	1994.3211158501213
lcwa	marginranking	none	none	0	0	3	0.0015059607103466988	1992.0838434817779
lcwa	marginranking	none	none	0	0	3	0.0015030419453978539	1995.9522814287811
lcwa	marginranking	none	none	0	0	3	0.0015132911503314972	1982.43411345056
