trainer	loss	sampler	filterer	num_negs_per_pos	workers	epochs	time	frequency
lcwa	marginranking	none	none	0	0	3	0.02358031226322055	127.22477830284112
lcwa	marginranking	none	none	0	0	3	0.028539719060063362	105.11666192951444
lcwa	marginranking	none	none	0	0	3	0.02272655302658677	132.00418015395627
lcwa	marginranking	none	none	0	0	3	0.02286229096353054	131.22044526445484
lcwa	marginranking	none	none	0	0	3	0.022596303839236498	132.76507615332926
lcwa	marginranking	none	none	0	0	3	0.02269275300204754	132.2007955460192
lcwa	marginranking	none	none	0	0	3	0.022712013218551874	132.08868677258022
lcwa	marginranking	none	none	0	0	3	0.022661664057523012	132.38215836158278
lcwa	marginranking	none	none	0	0	3	0.022879060823470354	131.1242634978472
lcwa	marginranking	none	none	0	2	3	0.024117644876241684	124.39025515942078
lcwa	marginranking	none	none	0	2	3	0.023057619109749794	130.1088367242334
lcwa	marginranking	none	none	0	2	3	0.022842192091047764	131.33590629315083
lcwa	marginranking	none	none	0	2	3	0.022685213014483452	132.24473572651223
lcwa	marginranking	none	none	0	2	3	0.022925749886780977	130.8572245102353
lcwa	marginranking	none	none	0	2	3	0.022623534314334393	132.60527547630716
lcwa	marginranking	none	none	0	2	3	0.02269930299371481	132.1626483787043
lcwa	marginranking	none	none	0	2	3	0.023039838764816523	130.20924454476713
lcwa	marginranking	none	none	0	2	3	0.027612931095063686	108.64475015969256
lcwa	marginranking	none	none	0	8	3	0.024105435237288475	124.4532600415083
lcwa	marginranking	none	none	0	8	3	0.022894800640642643	131.034117618584
lcwa	marginranking	none	none	0	8	3	0.022910670842975378	130.9433503960373
lcwa	marginranking	none	none	0	8	3	0.02293189987540245	130.8221305822944
lcwa	marginranking	none	none	0	8	3	0.02271725283935666	132.05822117728204
lcwa	marginranking	none	none	0	8	3	0.02289039082825184	131.05936121882777
lcwa	marginranking	none	none	0	8	3	0.02268305327743292	132.25732723489486
lcwa	marginranking	none	none	0	8	3	0.022754841949790716	131.84007195565655
lcwa	marginranking	none	none	0	8	3	0.02283149166032672	131.39745946660892
slcwa	marginranking	bernoulli	none	1	0	3	0.0017345082014799118	1729.5968952123426
slcwa	marginranking	bernoulli	none	1	0	3	0.0009577479213476181	3132.3482235062343
slcwa	marginranking	bernoulli	none	1	0	3	0.0008935392834246159	3357.4349283246675
slcwa	marginranking	bernoulli	none	1	0	3	0.000958878081291914	3128.656352179878
slcwa	marginranking	bernoulli	none	1	0	3	0.0009482479654252529	3163.72943511101
slcwa	marginranking	bernoulli	none	1	0	3	0.0008930093608796597	3359.4272707789396
slcwa	marginranking	bernoulli	none	1	0	3	0.0008704392239451408	3446.5358608300426
slcwa	marginranking	bernoulli	none	1	0	3	0.0008744182996451855	3430.8522605454577
slcwa	marginranking	bernoulli	none	1	0	3	0.0009182589128613472	3267.0524162426354
slcwa	marginranking	bernoulli	none	1	0	3	0.0012315348722040653	2435.9846137616314
slcwa	marginranking	bernoulli	none	1	0	3	0.0012635341845452785	2374.2927074661156
slcwa	marginranking	bernoulli	none	1	0	3	0.0014014020562171936	2140.7132854492193
slcwa	marginranking	bernoulli	none	1	0	3	0.0012764940038323402	2350.187302872777
slcwa	marginranking	bernoulli	none	1	0	3	0.0012606540694832802	2379.717063246103
slcwa	marginranking	bernoulli	none	1	0	3	0.0012784739956259727	2346.54753265523
slcwa	marginranking	bernoulli	none	1	0	3	0.0012441040016710758	2411.3739654967844
slcwa	marginranking	bernoulli	none	1	0	3	0.001250464003533125	2399.109443793381
slcwa	marginranking	bernoulli	none	1	0	3	0.0012551043182611465	2390.2395652309415
slcwa	marginranking	bernoulli	none	1	0	3	0.0012535438872873783	2393.2149727058118
slcwa	marginranking	bernoulli	none	1	0	3	0.0012322841212153435	2434.503495055379
slcwa	marginranking	bernoulli	none	1	0	3	0.0012498539872467518	2400.2803772371585
slcwa	marginranking	bernoulli	none	1	0	3	0.0012403540313243866	2418.6642879668425
slcwa	marginranking	bernoulli	none	1	0	3	0.0012294347397983074	2440.1457864222702
slcwa	marginranking	bernoulli	none	1	0	3	0.0012241341173648834	2450.7118602804007
slcwa	marginranking	bernoulli	none	1	0	3	0.0012256940826773643	2447.5927904023997
slcwa	marginranking	bernoulli	none	1	0	3	0.0012273350730538368	2444.320272324203
slcwa	marginranking	bernoulli	none	1	0	3	0.0012333448976278305	2432.409625053047
slcwa	marginranking	bernoulli	none	1	0	3	0.0012320540845394135	2434.958040921969
slcwa	marginranking	bernoulli	none	1	0	3	0.0012755640782415867	2351.900661968792
slcwa	marginranking	bernoulli	none	1	0	3	0.0012860940769314766	2332.6442861456712
slcwa	marginranking	bernoulli	none	1	0	3	0.001239703968167305	2419.932562154333
slcwa	marginranking	bernoulli	none	1	0	3	0.0012198146432638168	2459.390052879675
slcwa	marginranking	bernoulli	none	1	0	3	0.0012527639046311378	2394.705010983946
slcwa	marginranking	bernoulli	none	1	0	3	0.0012280740775167942	2442.8493809315623
slcwa	marginranking	bernoulli	none	1	0	3	0.001231964211910963	2435.135672769703
slcwa	marginranking	bernoulli	none	1	0	3	0.0012127547524869442	2473.707065544809
slcwa	marginranking	bernoulli	none	1	0	3	0.0012001041322946548	2499.783076543417
slcwa	marginranking	bernoulli	none	1	0	3	0.0012049851939082146	2489.6571469645082
slcwa	marginranking	bernoulli	none	1	0	3	0.0013356627896428108	2246.07589824545
slcwa	marginranking	bernoulli	none	1	0	3	0.0012305337004363537	2437.966549746817
slcwa	marginranking	bernoulli	none	1	0	3	0.0012345337308943272	2430.0672593422983
slcwa	marginranking	bernoulli	none	1	0	3	0.001332203857600689	2251.9076062450586
slcwa	marginranking	bernoulli	none	1	0	3	0.001257284078747034	2386.0955934395483
slcwa	marginranking	bernoulli	none	1	0	3	0.0012090746313333511	2481.236411925739
slcwa	marginranking	bernoulli	none	1	0	3	0.0012186137028038502	2461.813775027675
slcwa	marginranking	bernoulli	none	1	0	3	0.0012534139677882195	2393.463035435783
slcwa	marginranking	bernoulli	none	1	0	3	0.0013283630833029747	2258.4186791313864
slcwa	marginranking	bernoulli	none	1	0	3	0.0013399631716310978	2238.867502864417
slcwa	marginranking	bernoulli	none	1	0	3	0.0012495741248130798	2400.817959037653
slcwa	marginranking	bernoulli	none	1	0	3	0.001222193706780672	2454.6027224294676
slcwa	marginranking	bernoulli	none	1	0	3	0.0012299148365855217	2439.193276445524
slcwa	marginranking	bernoulli	none	1	0	3	0.0012183841317892075	2462.27763619547
slcwa	marginranking	bernoulli	none	1	0	3	0.0012384741567075253	2422.335568128025
slcwa	marginranking	bernoulli	none	1	0	3	0.0012145745567977428	2470.000695477746
slcwa	marginranking	bernoulli	none	1	0	3	0.0012145251967012882	2470.1010799513683
slcwa	marginranking	bernoulli	none	1	0	3	0.0011894251219928265	2522.2268678617106
slcwa	marginranking	bernoulli	none	1	0	3	0.001212824136018753	2473.565549122295
slcwa	marginranking	bernoulli	none	1	0	3	0.0012110751122236252	2477.137850262461
slcwa	marginranking	bernoulli	none	1	0	3	0.0013326331973075867	2251.1821002666848
slcwa	marginranking	bernoulli	none	1	0	3	0.0013449229300022125	2230.611087874801
slcwa	marginranking	bernoulli	none	1	0	3	0.0013259840197861195	2262.4707049515564
slcwa	marginranking	bernoulli	none	1	0	3	0.001221484038978815	2456.0288176242234
slcwa	marginranking	bernoulli	none	1	0	3	0.001225925050675869	2447.1316564956883
slcwa	marginranking	bernoulli	none	1	0	3	0.0012146951630711555	2469.7554507544073
slcwa	marginranking	bernoulli	none	1	0	3	0.0012074238620698452	2484.628715931788
slcwa	marginranking	bernoulli	none	1	0	3	0.0013170731253921986	2277.777856189009
slcwa	marginranking	bernoulli	none	1	0	3	0.0013204943388700485	2271.8764569389296
slcwa	marginranking	bernoulli	none	1	0	3	0.00122794508934021	2443.1059874281
slcwa	marginranking	bernoulli	none	1	0	3	0.001176734920591116	2549.427188319518
slcwa	marginranking	bernoulli	none	1	0	3	0.0012134648859500885	2472.2594240138515
slcwa	marginranking	bernoulli	none	1	0	3	0.0012316550128161907	2435.7469979685884
slcwa	marginranking	bernoulli	none	1	0	3	0.0012395940721035004	2420.1471009854217
slcwa	marginranking	bernoulli	none	1	0	3	0.0012170239351689816	2465.029580197579
slcwa	marginranking	bernoulli	none	1	0	3	0.0012177242897450924	2463.6118580076886
slcwa	marginranking	bernoulli	none	1	0	3	0.0012939339503645897	2318.510924885072
slcwa	marginranking	bernoulli	none	1	0	3	0.0012011444196105003	2497.6180640899297
slcwa	marginranking	bernoulli	none	1	0	3	0.0013255239464342594	2263.2559812066647
slcwa	marginranking	bernoulli	none	1	0	3	0.0012440653517842293	2411.4488806375184
slcwa	marginranking	bernoulli	none	1	0	3	0.0013388930819928646	2240.656883172982
slcwa	marginranking	bernoulli	none	1	0	3	0.0012088436633348465	2481.7104899436513
