trainer	loss	sampler	filterer	num_negs_per_pos	time	frequency
lcwa	softplus	none	none	0	0.10300609800015081	29.12448930931844
lcwa	softplus	none	none	0	0.0566327389997241	52.97289258805963
lcwa	softplus	none	none	0	0.053986997000720294	55.56893634887627
slcwa	softplus	basic	none	1	0.017254885000511422	173.86380725870282
slcwa	softplus	basic	none	1	0.014191833000040788	211.3891841872278
slcwa	softplus	basic	none	1	0.012383217999740737	242.26335998145314
slcwa	softplus	basic	none	1	0.012123769999561773	247.44778234067772
slcwa	softplus	basic	none	1	0.01206665400059137	248.61904549952075
slcwa	softplus	basic	none	1	0.012011837000500236	249.75363883767855
slcwa	softplus	basic	none	1	0.01105891600036557	271.2743274205926
slcwa	softplus	basic	none	1	0.0111294309999721	269.55555948974575
slcwa	softplus	basic	none	1	0.011055157000555482	271.36656673887677
slcwa	softplus	basic	none	1	0.011003128000083962	272.6497410533721
slcwa	softplus	basic	none	1	0.011426793000282487	262.5408546322521
slcwa	softplus	basic	none	1	0.011432710999542905	262.4049536562189
slcwa	softplus	basic	none	1	0.011354858000231616	264.20409660242393
slcwa	softplus	basic	none	1	0.011476190999928804	261.41077645175227
slcwa	softplus	basic	none	1	0.011411320999286545	262.89681976237154
slcwa	softplus	basic	none	1	0.011047764000068128	271.54816123710646
slcwa	softplus	basic	none	1	0.011045136999200622	271.6127468782978
slcwa	softplus	basic	none	10	0.018771129000015208	159.81990214853724
slcwa	softplus	basic	none	10	0.015228427000693046	196.9999921767015
slcwa	softplus	basic	none	10	0.013143595000656205	228.2480554102757
slcwa	softplus	basic	none	10	0.012185699999463395	246.19020656442444
slcwa	softplus	basic	none	10	0.011993681999229011	250.13169435314765
slcwa	softplus	basic	none	10	0.012115194999751111	247.62292311940755
slcwa	softplus	basic	none	10	0.012104464999538322	247.84242840261203
slcwa	softplus	basic	none	10	0.011308989999633923	265.27567891536836
slcwa	softplus	basic	none	10	0.011160113000187266	268.81448242949335
slcwa	softplus	basic	none	10	0.011716134000380407	256.05716014366124
slcwa	softplus	basic	none	10	0.010953957000310766	273.87363305469336
slcwa	softplus	basic	none	10	0.01104911099992023	271.51505673367376
slcwa	softplus	basic	none	10	0.010940599000605289	274.20802095333397
slcwa	softplus	basic	none	10	0.01093844299975899	274.2620681998434
slcwa	softplus	basic	none	10	0.01097356199989008	273.3843395635848
slcwa	softplus	basic	none	10	0.011023933000615216	272.13518077736666
slcwa	softplus	basic	none	10	0.011031723000087368	271.943013795419
slcwa	softplus	basic	none	100	0.018876924000323925	158.9241976048916
slcwa	softplus	basic	none	100	0.015066008000758302	199.12374929370833
slcwa	softplus	basic	none	100	0.013057936999757658	229.74532654397683
slcwa	softplus	basic	none	100	0.012357228999462677	242.7728740909833
slcwa	softplus	basic	none	100	0.012045680000483117	249.05194226309175
slcwa	softplus	basic	none	100	0.01204384500033484	249.08988781544386
slcwa	softplus	basic	none	100	0.012013913999908254	249.71046072270119
slcwa	softplus	basic	none	100	0.012068736999935936	248.5761351843134
slcwa	softplus	basic	none	100	0.011985369000285573	250.30518459035508
slcwa	softplus	basic	none	100	0.01210523900044791	247.82658152300803
slcwa	softplus	basic	none	100	0.012034446999678039	249.28440833885097
slcwa	softplus	basic	none	100	0.012037749999763037	249.21600797981807
slcwa	softplus	basic	none	100	0.011903462000191212	252.02751938484866
slcwa	softplus	basic	none	100	0.011853359999804525	253.09279394614467
slcwa	softplus	basic	none	100	0.011815097999715363	253.91240936573467
slcwa	softplus	basic	none	100	0.011796604000664956	254.31047781470792
slcwa	softplus	basic	bloom	1	0.01892999099982262	158.4786807361985
slcwa	softplus	basic	bloom	1	0.015265488999830268	196.52170985373323
slcwa	softplus	basic	bloom	1	0.013029527999606216	230.2462529794377
slcwa	softplus	basic	bloom	1	0.012308580000535585	243.7324207885443
slcwa	softplus	basic	bloom	1	0.011957151000387967	250.89588647853162
slcwa	softplus	basic	bloom	1	0.011948624000069685	251.07493548901562
slcwa	softplus	basic	bloom	1	0.01145936100056133	261.7947021525063
slcwa	softplus	basic	bloom	1	0.011098242000116443	270.3130820150186
slcwa	softplus	basic	bloom	1	0.010965919999762264	273.5748573822387
slcwa	softplus	basic	bloom	1	0.01123255299989978	267.08086754870124
slcwa	softplus	basic	bloom	1	0.010956133999570739	273.8192139779908
slcwa	softplus	basic	bloom	1	0.011150259000714868	269.0520462177303
slcwa	softplus	basic	bloom	1	0.011051639000470459	271.4529491844868
slcwa	softplus	basic	bloom	1	0.011104332000286377	270.1648329609229
slcwa	softplus	basic	bloom	1	0.01096240399965609	273.66260175177956
slcwa	softplus	basic	bloom	1	0.011055461000069045	271.3591047882367
