trainer	loss	sampler	filterer	num_negs_per_pos	time	frequency
lcwa	softplus	none	none	0	0.03561880899999892	84.2251631715168
lcwa	softplus	none	none	0	0.03088463899999283	97.13566669827989
lcwa	softplus	none	none	0	0.030341075999999134	98.87586056605525
lcwa	softplus	none	none	0	0.03063626200000158	97.92317352553798
lcwa	softplus	none	none	0	0.030403718999991725	98.67213941823421
lcwa	softplus	none	none	0	0.030788229999998862	97.43983333891266
lcwa	softplus	none	none	0	0.030593152000008672	98.06116087675927
slcwa	softplus	basic	none	1	0.004057883000001539	739.3017492123017
slcwa	softplus	basic	none	1	0.0038472419999919794	779.7793848180734
slcwa	softplus	basic	none	1	0.0037999780000035344	789.4782548733729
slcwa	softplus	basic	none	1	0.003812734999996792	786.8367458012488
slcwa	softplus	basic	none	1	0.003909375999995746	767.3858948341793
slcwa	softplus	basic	none	1	0.003818515000006073	785.6457287702756
slcwa	softplus	basic	none	1	0.0037588839999926904	798.1092260377904
slcwa	softplus	basic	none	1	0.0038615269999979773	776.8947362019148
slcwa	softplus	basic	none	1	0.0037969729999929314	790.1030636787739
slcwa	softplus	basic	none	1	0.003998976999994852	750.1918615695619
slcwa	softplus	basic	none	1	0.0038853070000044454	772.1397562654811
slcwa	softplus	basic	none	1	0.0038204800000016803	785.2416450285515
slcwa	softplus	basic	none	1	0.0038170260000072176	785.9522046730432
slcwa	softplus	basic	none	1	0.003794794000000934	790.5567469536585
slcwa	softplus	basic	none	1	0.003888079000006428	771.5892604021267
slcwa	softplus	basic	none	1	0.00386302500000113	776.5934727316345
slcwa	softplus	basic	none	1	0.0038423889999990024	780.7642589026719
slcwa	softplus	basic	none	1	0.0038179050000053394	785.7712541291113
slcwa	softplus	basic	none	1	0.0038498060000051737	779.2600458298336
slcwa	softplus	basic	none	1	0.0038146819999980153	786.4351471502896
slcwa	softplus	basic	none	1	0.003839663999997356	781.3183653575068
slcwa	softplus	basic	none	1	0.003969415999989678	755.7786838184259
slcwa	softplus	basic	none	1	0.003832079000005706	782.8648626491085
slcwa	softplus	basic	none	1	0.003778551000010566	793.9551431201037
slcwa	softplus	basic	none	1	0.0037372299999987035	802.7335754023811
slcwa	softplus	basic	none	1	0.0037987670000063645	789.7299307893782
slcwa	softplus	basic	none	1	0.0038735649999921407	774.480355952743
slcwa	softplus	basic	none	1	0.0038328029999945556	782.7169828463037
slcwa	softplus	basic	none	1	0.0038071540000004234	787.9901889967326
slcwa	softplus	basic	none	1	0.003783291999994276	792.9602050289903
slcwa	softplus	basic	none	1	0.003807144999996126	787.9920517876395
slcwa	softplus	basic	none	1	0.003895928999995135	770.0345668526675
slcwa	softplus	basic	none	1	0.003809926000002406	787.4168684636146
slcwa	softplus	basic	none	1	0.003799714999999537	789.5328991780608
slcwa	softplus	basic	none	1	0.0037819919999861895	793.2327725735419
slcwa	softplus	basic	none	1	0.0038421729999953413	780.8081520544852
slcwa	softplus	basic	none	1	0.003811020999989978	787.1906242468591
slcwa	softplus	basic	none	1	0.0038515180000047167	778.9136646891761
slcwa	softplus	basic	none	1	0.0038589910000013106	777.4052854746179
slcwa	softplus	basic	none	1	0.0038477570000026162	779.6750158593592
slcwa	softplus	basic	none	1	0.003817756000003669	785.8019213373292
slcwa	softplus	basic	none	1	0.0037711619999925006	795.5107736039889
slcwa	softplus	basic	none	1	0.0038166270000061786	786.0343701375962
slcwa	softplus	basic	none	1	0.003923859000011021	764.5534663685861
slcwa	softplus	basic	none	1	0.003883906999988085	772.4180831336083
slcwa	softplus	basic	none	1	0.0038461129999944887	780.0082836890905
slcwa	softplus	basic	none	1	0.003790504999997779	791.4512710052506
slcwa	softplus	basic	none	1	0.0039094330000040145	767.3747062545692
slcwa	softplus	basic	none	1	0.003834233000006293	782.4250638902425
slcwa	softplus	basic	none	1	0.0038182290000037256	785.7045766498219
slcwa	softplus	basic	none	1	0.0038348329999990938	782.3026452522728
slcwa	softplus	basic	none	1	0.003877719000001889	773.6506951634552
slcwa	softplus	basic	none	1	0.003782365999995818	793.1543377883887
slcwa	softplus	basic	none	10	0.004096187000001805	732.3884383204863
slcwa	softplus	basic	none	10	0.003776591999994139	794.3669848383558
slcwa	softplus	basic	none	10	0.0038591330000059543	777.3766802013228
slcwa	softplus	basic	none	10	0.0037657359999911932	796.6570147262091
slcwa	softplus	basic	none	10	0.0037685050000106912	796.071651753544
slcwa	softplus	basic	none	10	0.003790500999997448	791.452106199687
slcwa	softplus	basic	none	10	0.003791262000007123	791.2932421959663
slcwa	softplus	basic	none	10	0.00375601100000722	798.7197055584325
slcwa	softplus	basic	none	10	0.003795687999996744	790.3705467895605
slcwa	softplus	basic	none	10	0.003844176999990623	780.4011105647107
slcwa	softplus	basic	none	10	0.0038726200000098743	774.6693452991387
slcwa	softplus	basic	none	10	0.0038105860000001712	787.2804865183111
slcwa	softplus	basic	none	10	0.0037927589999924294	790.9809191688657
slcwa	softplus	basic	none	10	0.00388441399999806	772.3172658736938
slcwa	softplus	basic	none	10	0.0038299999999935608	783.2898172336929
slcwa	softplus	basic	none	10	0.0038349590000024136	782.2769422041049
slcwa	softplus	basic	none	10	0.0038260219999983747	784.1042210424495
slcwa	softplus	basic	none	10	0.0037697430000065424	795.8102183609847
slcwa	softplus	basic	none	10	0.0037830349999978807	793.0140746785796
slcwa	softplus	basic	none	10	0.003862311999995427	776.7368353472096
slcwa	softplus	basic	none	10	0.003834791000002724	782.3112133093744
slcwa	softplus	basic	none	10	0.003907663999996203	767.7220968852274
slcwa	softplus	basic	none	10	0.003831050999991703	783.0749316588312
