trainer	loss	sampler	filterer	num_negs_per_pos	workers	epochs	time	frequency
lcwa	marginranking	none	none	0	0	3	0.007489097770303488	400.5822986977012
lcwa	marginranking	none	none	0	0	3	0.006508929654955864	460.9052730683325
lcwa	marginranking	none	none	0	0	3	0.006475081201642752	463.31465298672845
lcwa	marginranking	none	none	0	0	3	0.006557390093803406	457.4990898947641
lcwa	marginranking	none	none	0	0	3	0.006568840239197016	456.7016232330723
lcwa	marginranking	none	none	0	0	3	0.006654598284512758	450.8160931339609
lcwa	marginranking	none	none	0	0	3	0.006555600091814995	457.6240096990747
lcwa	marginranking	none	none	0	0	3	0.0064620100893080235	464.2518285391986
lcwa	marginranking	none	none	0	0	3	0.006477381102740765	463.1501454701522
lcwa	marginranking	none	none	0	0	3	0.0064073107205331326	468.2151577862575
lcwa	marginranking	none	none	0	0	3	0.00652843015268445	459.528543591206
lcwa	marginranking	none	none	0	0	3	0.006456170696765184	464.67172894036514
lcwa	marginranking	none	none	0	0	3	0.006542770192027092	458.5213773297049
lcwa	marginranking	none	none	0	0	3	0.006527489051222801	459.5947961702068
lcwa	marginranking	none	none	0	0	3	0.006469259969890118	463.73155723574297
lcwa	marginranking	none	none	0	0	3	0.006537130102515221	458.91697930957844
lcwa	marginranking	none	none	0	0	3	0.006621509324759245	453.06890813886736
lcwa	marginranking	none	none	0	0	3	0.006639168132096529	451.8638390097005
lcwa	marginranking	none	none	0	0	3	0.006504939869046211	461.1879679742337
lcwa	marginranking	none	none	0	0	3	0.00661163916811347	453.7452700789181
lcwa	marginranking	none	none	0	0	3	0.006521809846162796	459.9950122380668
lcwa	marginranking	none	none	0	0	3	0.006490129977464676	462.24035734518975
lcwa	marginranking	none	none	0	0	3	0.008384706918150187	357.79425915364646
lcwa	marginranking	none	none	0	0	3	0.008837142027914524	339.4762685179984
lcwa	marginranking	none	none	0	0	3	0.007157712243497372	419.12833290070245
lcwa	marginranking	none	none	0	0	3	0.007108783349394798	422.013142411409
lcwa	marginranking	none	none	0	0	3	0.007426968775689602	403.93329911656275
lcwa	marginranking	none	none	0	0	3	0.007287680171430111	411.65363043247953
lcwa	marginranking	none	none	0	0	3	0.006537630222737789	458.8818727565901
lcwa	marginranking	none	none	0	0	3	0.006450939923524857	465.04851007212153
lcwa	marginranking	none	none	0	2	3	0.007513477001339197	399.2825158665265
lcwa	marginranking	none	none	0	2	3	0.006521170027554035	460.04014422627193
lcwa	marginranking	none	none	0	2	3	0.006711537949740887	446.9914380974068
lcwa	marginranking	none	none	0	2	3	0.0066286479122936726	452.5809847942169
lcwa	marginranking	none	none	0	2	3	0.006596429739147425	454.79147336264117
lcwa	marginranking	none	none	0	2	3	0.006552318576723337	457.85319576146594
lcwa	marginranking	none	none	0	2	3	0.006459700874984264	464.41778931556297
lcwa	marginranking	none	none	0	2	3	0.006510179955512285	460.8167547595741
lcwa	marginranking	none	none	0	2	3	0.0065114498138427734	460.72688660246786
lcwa	marginranking	none	none	0	2	3	0.006475341040641069	463.2960613458276
lcwa	marginranking	none	none	0	2	3	0.006640227977186441	451.7917171378719
lcwa	marginranking	none	none	0	2	3	0.006593069061636925	455.02329369733025
lcwa	marginranking	none	none	0	2	3	0.0064856912940740585	462.55670582734706
lcwa	marginranking	none	none	0	2	3	0.006470209918916225	463.66347268412994
lcwa	marginranking	none	none	0	2	3	0.006485230755060911	462.58955360360545
lcwa	marginranking	none	none	0	2	3	0.0064598009921610355	464.4105915399713
lcwa	marginranking	none	none	0	2	3	0.006593318656086922	455.0060684888048
lcwa	marginranking	none	none	0	2	3	0.006500940769910812	461.4716709749622
lcwa	marginranking	none	none	0	2	3	0.006463619880378246	464.1362047151266
lcwa	marginranking	none	none	0	2	3	0.006476131267845631	463.239529268836
lcwa	marginranking	none	none	0	2	3	0.006485119927674532	462.59745902274403
lcwa	marginranking	none	none	0	2	3	0.006574658676981926	456.29745168415945
lcwa	marginranking	none	none	0	2	3	0.00643896171823144	465.9136257179048
lcwa	marginranking	none	none	0	2	3	0.006390881258994341	469.4188294889515
lcwa	marginranking	none	none	0	2	3	0.006457380950450897	464.584639348329
lcwa	marginranking	none	none	0	2	3	0.0064436099492013454	465.5775293120956
lcwa	marginranking	none	none	0	2	3	0.006454710848629475	464.77682275062534
lcwa	marginranking	none	none	0	2	3	0.006429991219192743	466.56362314234025
lcwa	marginranking	none	none	0	2	3	0.006416912190616131	467.514578801171
lcwa	marginranking	none	none	0	2	3	0.006548500154167414	458.12016940868875
lcwa	marginranking	none	none	0	2	3	0.006460811011493206	464.337990178519
lcwa	marginranking	none	none	0	8	3	0.007343759760260582	408.5100953647685
lcwa	marginranking	none	none	0	8	3	0.006533749867230654	459.15439999412735
lcwa	marginranking	none	none	0	8	3	0.006599579006433487	454.57445044229354
lcwa	marginranking	none	none	0	8	3	0.00645547965541482	464.72147077152
lcwa	marginranking	none	none	0	8	3	0.006452652160078287	464.9251076263814
lcwa	marginranking	none	none	0	8	3	0.0064755710773169994	463.2796033246506
lcwa	marginranking	none	none	0	8	3	0.006463031284511089	464.17847414565654
lcwa	marginranking	none	none	0	8	3	0.006452401168644428	464.9431927107322
lcwa	marginranking	none	none	0	8	3	0.006493100896477699	462.0288592200076
lcwa	marginranking	none	none	0	8	3	0.006452691741287708	464.9222557470746
lcwa	marginranking	none	none	0	8	3	0.006451840978115797	464.98356208341073
lcwa	marginranking	none	none	0	8	3	0.006435360759496689	466.1743314969386
lcwa	marginranking	none	none	0	8	3	0.006425871048122644	466.86277666223435
lcwa	marginranking	none	none	0	8	3	0.00643920199945569	465.89623997718843
lcwa	marginranking	none	none	0	8	3	0.006417542230337858	467.4686807385546
lcwa	marginranking	none	none	0	8	3	0.006427980959415436	466.7095342909699
lcwa	marginranking	none	none	0	8	3	0.006405122112482786	468.3751452846423
lcwa	marginranking	none	none	0	8	3	0.006676698103547096	449.32389535573054
lcwa	marginranking	none	none	0	8	3	0.019665369298309088	152.5524364425718
lcwa	marginranking	none	none	0	8	3	0.01236324803903699	242.65468026909207
lcwa	marginranking	none	none	0	8	3	0.006387531757354736	469.66498390332663
lcwa	marginranking	none	none	0	8	3	0.017979769967496395	166.85419254102598
lcwa	marginranking	none	none	0	8	3	0.032259805127978325	92.99498208679991
slcwa	marginranking	basic	none	1	0	3	0.0016774502582848072	1788.4285898691862
slcwa	marginranking	basic	none	1	0	3	0.0021590441465377808	1389.5037787026108
slcwa	marginranking	basic	none	1	0	3	0.001179585698992014	2543.265828471451
slcwa	marginranking	basic	none	1	0	3	0.004159899428486824	721.171281078605
